id,id_inspecao,op,codigo,descricao,quantidade_programada,inspecao_completa,quantidade_nc,codigo_nc,observacao,codigo_item,descricao_item,destino,sem_fim,central,inspecoes,tensao
21,13,95317,2006151,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,500,True,0,,,2006151,Cilindro e chave,cilindro_e_chave,Exportação,1 entrada,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,0,127
22,13,95317,2006151,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,500,True,0,,,2006151,Etiqueta Tampa,etiqueta_tampa,Exportação,1 entrada,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,0,127
14,14,98571,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,True,0,,,2001161,Estator,estator,Nacional,,,0,
15,14,98571,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,True,0,,,2001161,Sem fim,sem_fim,Nacional,,,0,
16,14,98571,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,True,0,,,2001161,Engrenagem,engrenagem,Nacional,,,0,
17,14,98571,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,True,0,,,2001161,Capacitor,capacitor,Nacional,,,0,
18,14,98571,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,True,0,,,2001161,Placa,placa,Nacional,,,0,
19,14,98571,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,True,0,,,2001161,Base,base,Nacional,,,0,
20,14,98571,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,True,0,,,2001161,Tampa,tampa,Nacional,,,0,
21,14,98571,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,True,0,,,2001161,Manual,manual,Nacional,,,0,
22,14,98571,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,True,0,,,2001161,Cilindro e chave,cilindro_e_chave,Nacional,,,0,
23,14,98571,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,True,0,,,2001161,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
15,15,98420,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Estator,estator,Nacional,,,0,
16,15,98420,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Sem fim,sem_fim,Nacional,,,0,
17,15,98420,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Furo,furo,Nacional,,,0,
18,15,98420,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Capacitor,capacitor,Nacional,,,0,
19,15,98420,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Placa,placa,Nacional,,,0,
20,15,98420,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Jumper,jumper,Nacional,,,0,
21,15,98420,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,KIT,kit,Nacional,,,0,
22,15,98420,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Manual,manual,Nacional,,,0,
23,15,98420,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
